Filename,Satellite,Daily_Or_7Day,Date,5th_Percentile,Median,95th_Percentile,Mean,StdDeviation,NumberOfInvalidMeasurements
VRSUCW_2021257_DAILY_SNPP_CHLORA_FG_750M.nc4,VIIRS,Daily,14-Sep-2021,1.03851819038391,1.28399348258972,1.76011300086975,1.34637784957886,0.236460909247398,0
VRSUCW_2021258_DAILY_SNPP_CHLORA_FG_750M.nc4,VIIRS,Daily,15-Sep-2021,NaN,NaN,NaN,NaN,NaN,120
VRSUCW_2021190_7DAY_SNPP_CHLORA_FG_750M.nc4,VIIRS,7Day,09-Jul-2021,0.67384946346283,0.929576754570007,1.62037825584412,1.01804685592651,0.298490196466446,0
VRSUCW_2021197_7DAY_SNPP_CHLORA_FG_750M.nc4,VIIRS,7Day,16-Jul-2021,0.859497964382172,1.18106126785278,1.70499610900879,1.22173357009888,0.260290443897247,0
VRSUCW_2021204_7DAY_SNPP_CHLORA_FG_750M.nc4,VIIRS,7Day,23-Jul-2021,1.47186493873596,1.74535894393921,2.28702449798584,1.78794407844543,0.253318876028061,0
VRSUCW_2021211_7DAY_SNPP_CHLORA_FG_750M.nc4,VIIRS,7Day,30-Jul-2021,1.1737539768219,1.43555641174316,1.75002229213715,1.4524120092392,0.190831378102303,0
VRSUCW_2021218_7DAY_SNPP_CHLORA_FG_750M.nc4,VIIRS,7Day,06-Aug-2021,1.19037413597107,1.73321318626404,2.28603982925415,1.70540797710419,0.337919801473618,0
VRSUCW_2021225_7DAY_SNPP_CHLORA_FG_750M.nc4,VIIRS,7Day,13-Aug-2021,1.15403175354004,1.32847595214844,1.53288197517395,1.32740032672882,0.119179382920265,1
VRSUCW_2021232_7DAY_SNPP_CHLORA_FG_750M.nc4,VIIRS,7Day,20-Aug-2021,2.12771105766296,2.48948764801025,4.20508670806885,2.76175379753113,0.645106017589569,0
VRSUCW_2021239_7DAY_SNPP_CHLORA_FG_750M.nc4,VIIRS,7Day,27-Aug-2021,2.74922060966492,3.05822038650513,3.39746952056885,3.06575989723206,0.197014644742012,0
VRSUCW_2021246_7DAY_SNPP_CHLORA_FG_750M.nc4,VIIRS,7Day,03-Sep-2021,1.93546605110168,2.57554244995117,4.21965265274048,2.71377944946289,0.705641567707062,0
